date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:18	91/91	---MC-	200	added ('OK')	text/plain	date:Thu,%2004%20Apr%202019%2007:14:19%20GMT	https://www.grote-wielen.nl/robots.txt		(from )
09:14:18	21189/21189	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202019%2007:14:19%20GMT	https://www.grote-wielen.nl/	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/index.html	(from )
09:14:19	16376/16376	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Apr%202019%2007:14:19%20GMT	https://www.grote-wielen.nl/friksbeheer/xmlrpc.php	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/xmlrpc.php	(from https://www.grote-wielen.nl/)
09:14:19	205/205	---M--	200	added ('OK')	text/css	etag:%22cd-5666b0f7324a3%22	https://www.grote-wielen.nl/friksbeheer/wp-content/plugins/frix-setup/public/css/frix-setup-public.css?ver=1.0.6	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/plugins/frix-setup/public/css/frix-setup-public0ba6.css	(from https://www.grote-wielen.nl/)
09:14:19	7598/7598	---M--	200	added ('OK')	text/css	etag:%221dae-5666a45d49b81%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/normalize.css?ver=1.1	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/normalize4963.css	(from https://www.grote-wielen.nl/)
09:14:20	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5666a45d5d7e9%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/font-awesome.min.css?ver=1.1	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/font-awesome.min4963.css	(from https://www.grote-wielen.nl/)
09:14:20	30517/30517	---M--	200	added ('OK')	text/css	etag:%227735-5666a43540694%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/style.css?ver=4.9.10	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/style8e83.css	(from https://www.grote-wielen.nl/)
09:14:20	1577/1577	---MC-	200	added ('OK')	text/css	date:Thu,%2004%20Apr%202019%2007:14:21%20GMT	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/colors.php?ver=4.9.10	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/css/colors8e83.css	(from https://www.grote-wielen.nl/)
09:14:20	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-5666a4373851c%22	https://www.grote-wielen.nl/friksbeheer/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.grote-wielen.nl/)
09:14:21	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5666a43721204%22	https://www.grote-wielen.nl/friksbeheer/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.grote-wielen.nl/)
09:14:21	838/838	---M--	200	added ('OK')	application/javascript	etag:%22346-5666b0f7318eb%22	https://www.grote-wielen.nl/friksbeheer/wp-content/plugins/frix-setup/public/js/frix-setup-public.js?ver=1.0.6	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/plugins/frix-setup/public/js/frix-setup-public0ba6.js	(from https://www.grote-wielen.nl/)
09:14:21	6967/6967	---M--	200	added ('OK')	application/javascript	etag:%221b37-5666a461b550b%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/jquery.easing.min.js?ver=4.9.10	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/jquery.easing.min8e83.js	(from https://www.grote-wielen.nl/)
09:14:21	19359/19359	---M--	200	added ('OK')	application/javascript	etag:%224b9f-5666a461c08bb%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/jquery.bxslider.min.js?ver=4.9.10	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/jquery.bxslider.min8e83.js	(from https://www.grote-wielen.nl/)
09:14:22	41953/41953	---M--	200	added ('OK')	application/javascript	etag:%22a3e1-5666a461ec00c%22	https://www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/slick.min.js?ver=4.9.10	C:/Users/louis/Documents/grotewiel/www.grote-wielen.nl/friksbeheer/wp-content/themes/frix-template-standard/js/slick.min8e83.js	(from https://www.grote-wielen.nl/)
